num_comments,score,ups
5,104,118
1,100,127
9,149,179
47,311,515
21,586,782
20,646,1121
6,170,227
34,471,576
41,748,913
7,161,220
17,137,183
25,161,190
13,301,420
4,227,254
40,430,589
47,166,240
83,208,255
2,56,81
9,342,443
5,146,169
11,154,183
397,1586,7965
5,149,185
12,666,1091
8,79,89
45,200,253
238,738,1345
52,49,65
20,550,672
6,173,245
10,270,382
5724,995,1747
108,1630,4946
13,455,545
102,605,1285
22,598,772
21,100,117
10,128,161
6,503,613
56,1570,4122
10,33,51
15,198,384
2137,2306,18957
1,153,178
335,96,177
23,404,587
6,56,61
14,337,380
5,322,434
3,142,198
18,107,137
581,979,6867
34,391,487
13,164,202
93,1694,6178
381,1487,2555
4,136,156
0,52,59
3,124,133
146,502,663
51,190,245
183,255,462
19,114,168
27,569,781
7,140,152
112,167,206
3,66,69
7,80,91
12,196,252
169,248,361
17,856,1273
22,135,164
25,1272,1676
8,165,205
35,468,650
201,1576,3095
23,237,291
73,285,391
41,191,239
285,135,190
0,64,71
37,412,647
14,154,176
86,1660,2631
29,115,162
13,60,76
62,179,239
35,98,142
17,264,368
16,64,71
1,41,47
16,219,259
107,620,903
9,110,149
149,984,2630
5,52,68
1134,357,598
71,275,382
333,1350,3784
116,1219,2141
7,344,445
20,414,529
27,451,694
12,79,125
157,1624,4354
8,250,298
5,22,32
1130,2579,13634
2,54,59
7,207,253
67,151,226
90,491,596
1,46,46
7,149,219
74,479,807
30,456,604
4,190,204
13,189,248
991,2557,37011
34,99,136
44,80,104
7,82,95
1,56,67
11,204,223
752,2688,29628
5,101,120
1,36,40
32,1574,2401
42,1208,1947
11,474,614
786,270,461
156,2299,10854
67,261,404
142,1373,2643
4,25,38
144,43,58
301,57,73
59,431,623
5,61,68
62,583,757
190,486,1072
126,1546,3307
3,83,111
42,800,1048
6,226,285
35,80,120
9,67,96
368,245,326
4,29,34
83,200,308
29,1189,2204
2,224,335
0,40,44
22,136,187
5,66,73
16,150,172
25,118,150
81,195,275
1,19,32
66,348,539
218,283,2741
49,236,325
71,220,292
8,256,401
253,559,810
1,26,28
2,45,53
12,81,118
3,129,148
9,69,85
6,58,67
3,102,117
37,155,213
428,2042,6856
30,402,521
1,39,41
91,526,686
16,143,163
5,126,147
96,416,692
4,93,125
6,67,78
19,43,58
14,136,225
5,26,31
33,271,374
9,206,340
26,127,164
2,62,95
15,53,83
29,440,645
4,63,80
6,174,258
815,794,6679
137,350,572
19,174,231
253,911,2193
14,26,41
9,195,260
24,205,296
27,110,145
3,90,107
13,101,127
68,941,1361
8,137,190
39,8,10
2,23,24
20,1048,1338
151,1839,4533
26,178,264
7,61,83
33,622,767
4,13,14
5,466,577
3,56,60
0,11,14
3,58,72
9,75,110
92,327,637
20,81,85
23,164,277
23,83,111
15,209,292
60,815,1019
1,18,24
20,388,613
52,102,152
606,2142,7253
33,54,70
5,284,336
695,222,388
17,107,128
80,241,292
34,181,344
1,36,43
4,102,111
8,45,57
1,21,29
1,32,33
44,226,284
13,252,339
43,370,645
0,51,53
1,54,58
76,1363,2863
17,181,281
8,30,47
0,45,50
405,106,204
321,2494,19319
135,28,43
87,22,30
11,121,174
44,181,287
35,1382,2561
58,93,107
53,27,36
13,84,112
6,49,63
36,292,377
14,209,284
7,161,201
1,87,116
21,56,68
1,41,47
9,53,67
7,51,61
5,155,189
9,68,78
7,145,161
44,132,243
11,122,161
43,1057,1477
9,87,98
351,1971,10775
0,27,29
16,460,563
35,56,63
10,121,143
1,22,24
2,19,25
243,1504,4288
2,73,77
5,63,80
12,520,659
42,86,121
0,46,72
48,465,583
2,32,34
17,70,82
7,138,197
4,57,82
8,98,133
149,388,586
6,46,69
1016,1220,10515
11,32,48
21,25,30
6,35,49
2,24,25
0,7,8
8,269,335
1,15,18
1,26,28
31,46,82
18,70,92
871,1121,1804
0,67,75
284,72,103
459,154,266
9,65,88
4,30,36
6,206,239
8,67,81
3,27,31
6,336,392
62,2010,8405
0,25,28
13,83,127
14,97,117
26,58,72
28,151,183
76,390,921
46,682,1512
24,27,51
2,122,151
46,129,161
2,24,28
162,1753,6929
1,9,15
16,71,108
14,58,73
476,2100,5574
1932,2465,19679
6,117,146
3,45,54
77,829,1011
0,35,38
8,57,73
40,84,125
25,252,323
1,50,59
1,24,30
60,90,176
10,29,42
2,38,43
831,964,8675
9,29,40
44,224,296
10,82,100
3,68,93
6,63,76
20,52,81
10,27,42
66,225,362
451,136,215
0,108,113
6,47,51
11,209,288
97,160,241
16,461,603
29,328,401
6,69,76
4,39,44
12,57,69
5,110,124
7,418,580
4,69,92
8,37,64
27,74,87
2,35,44
1,31,43
0,24,25
2,18,21
44,250,317
8,26,28
0,42,50
4,27,33
8,43,58
11,69,77
9,19,22
0,7,10
2,45,51
6,28,31
23,9,13
0,52,59
2,22,27
18,4,4
57,108,134
0,20,20
12,25,34
14,35,46
13,166,209
3,50,78
23,108,119
7,37,51
51,160,236
102,880,1205
3,16,19
3,48,58
17,91,121
9,206,277
6,206,268
4,20,22
11,15,29
804,1732,10842
1006,146,213
2,28,31
10,30,35
15,16,18
3,116,143
0,33,39
116,74,105
171,1534,8611
26,36,91
37,16,17
4,49,62
245,548,714
256,1716,3436
32,16,25
108,1273,2373
11,13,16
12,68,112
1495,887,13346
1,25,26
2,14,19
14,61,97
6,54,86
0,17,23
27,385,502
17,54,74
28,44,62
23,589,691
0,10,16
13,82,96
9,106,207
19,210,280
3,48,53
7,45,68
11,195,241
5,148,182
18,245,292
28,35,63
132,674,894
17,127,166
3,14,18
13,39,52
18,3,6
45,35,50
24,68,87
2,41,45
26,91,117
0,26,27
4,49,54
0,8,14
2,40,43
42,343,506
4,17,29
51,11,13
22,135,176
70,52,67
6,40,50
269,1695,6821
7,40,50
7,66,84
0,25,26
97,31,42
4,134,161
1,23,30
8,121,151
21,31,38
7,78,93
4,250,282
10,60,82
10,24,28
27,176,202
2,15,26
1,13,14
36,12,12
68,50,96
0,10,11
6,22,24
35,13,15
367,114,238
5,101,124
4,23,28
11,179,204
115,66,98
5,16,19
13,60,98
52,640,819
28,103,137
5,27,37
38,157,408
4,34,45
9,21,35
1,54,61
2,24,28
1,42,46
1,40,52
6,63,76
9,42,67
2,51,59
19,29,45
2,93,104
8,28,40
105,108,199
9,49,68
22,7,8
4,18,22
27,37,67
3,30,38
34,118,153
100,17,31
1,10,10
7,25,27
29,57,73
60,185,336
37,494,662
6,18,26
5,7,21
3,40,50
41,13,18
9,78,104
0,19,21
9,110,145
4,41,46
11,93,118
3,14,18
10,17,22
4,17,30
8,18,23
131,27,44
2,23,40
103,22,30
3,39,56
2,24,26
21,122,174
1,51,54
11,205,245
4,29,34
3,81,93
8,39,60
0,12,14
1,47,56
236,1399,2668
83,37,50
10,101,122
13,177,222
5,18,26
11,17,29
4,43,55
7,25,40
58,35,78
3,53,64
3,34,37
6,48,57
3,23,33
29,62,85
55,10,19
3,37,50
17,8,12
15,64,83
14,15,39
1,71,81
37,412,757
7,27,31
6,40,48
4,40,59
13,9,9
4,80,98
11,127,170
11,91,113
115,1044,1444
52,53,66
24,124,169
1,21,22
3,12,14
5,15,18
52,14,19
0,5,9
8,86,104
19,8,9
1,16,18
5,27,33
20,82,149
5,10,13
6,13,15
36,32,49
3,45,56
26,9,12
3,30,43
11,48,53
24,112,159
15,24,35
10,38,46
3,20,22
17,266,326
7,43,55
10,40,51
141,28,39
1,13,17
0,21,36
2,19,22
6,35,38
6,47,66
2,59,64
627,102,176
49,67,89
14,65,93
7,54,62
5,19,28
30,75,103
6,26,42
2,36,43
24,30,34
11,34,50
0,7,10
8,16,24
23,14,33
8,17,27
1,18,26
0,1,2
13,8,11
45,17,20
51,59,84
3,24,30
340,69,223
1,8,8
2,2,2
9,22,25
0,3,7
11,211,265
117,94,247
6,16,26
3,14,15
7,24,28
2,15,18
20,41,50
12,37,47
6,9,9
10,66,104
102,30,38
24,59,101
76,270,421
1,23,30
16,43,78
39,73,94
182,156,299
40,172,234
9,127,152
0,14,20
67,36,46
21,112,162
13,85,124
27,11,21
7,21,26
3,15,15
49,11,15
6,24,31
1,16,22
4,24,32
14,52,67
83,172,282
4,16,22
32,58,146
60,16,24
6,19,25
5,21,25
0,17,24
0,28,32
1,13,14
12,4,7
4,13,15
1,22,25
12,22,30
4,17,27
16,64,81
1,26,32
0,7,12
1,9,10
11,31,46
1,37,42
18,138,180
1,24,30
4,19,25
63,11,16
67,167,286
9,25,40
2,7,8
53,15,28
71,15,20
7,50,64
6,217,240
21,38,59
1,7,10
22,50,89
5,25,35
36,29,93
0,8,8
15,9,18
8,59,76
16,36,148
18,72,90
1,19,29
16,176,219
21,170,222
4,15,16
20,8,9
0,17,22
56,12,16
4,23,28
1,8,8
6,23,49
0,5,8
2,43,53
81,18,25
1,26,35
3,16,20
121,19,29
0,17,22
26,37,72
25,83,116
6,23,26
13,59,117
105,10,14
6,13,25
40,369,604
57,10,14
0,13,14
0,18,27
2,4,4
71,1336,2195
1,11,12
0,11,12
18,96,158
47,78,193
38,6,9
33,38,53
4,19,21
6,36,42
41,17,31
0,2,2
33,22,26
8,25,31
19,7,7
2,58,66
10,35,53
12,29,71
6,52,85
22,7,12
50,9,11
2,19,25
2,22,29
13,7,8
2,48,61
6,7,8
36,348,434
59,19,34
3,14,14
28,204,248
22,46,144
28,6,6
2,36,43
0,15,17
235,36,48
19,58,82
6,10,13
9,20,27
8,54,86
7,20,24
1,15,17
418,68,118
0,20,22
48,53,92
7,60,76
1,9,10
13,31,44
5,6,8
6,39,55
11,4,5
45,24,35
100,20,33
46,11,14
35,31,45
6,64,76
8,30,34
28,50,97
1,18,20
0,20,26
3,15,17
20,48,152
0,20,22
19,5,6
0,48,55
25,16,35
3,13,14
28,201,248
22,48,144
2,37,43
0,15,17
235,39,48
28,6,6
19,60,80
6,10,13
9,21,27
0,20,22
1,14,17
7,19,23
7,59,75
418,69,120
48,49,90
13,31,44
5,6,8
45,26,37
35,31,45
100,19,33
6,37,53
6,70,78
46,12,15
8,31,34
28,49,95
3,15,18
0,20,26
2,8,8
0,20,22
20,52,152
0,48,55
19,5,6
0,16,16
0,8,10
6,30,35
25,64,80
17,8,10
7,143,173
0,19,25
0,2,2
0,5,5
10,9,9
11,6,6
12,30,52
6,12,18
119,350,514
2,29,40
4,8,10
35,9,11
6,49,69
22,6,7
0,3,3
9,14,24
11,25,29
14,6,6
6,29,43
21,26,59
0,8,15
1,6,10
8,19,23
145,35,58
12,32,50
3,35,46
21,6,6
5,17,25
11,30,48
7,5,5
0,6,6
5,25,37
11,57,113
5,17,20
2,8,9
1,8,10
3,3,3
0,2,2
14,6,6
1,17,19
6,41,50
7,78,131
2,11,15
2,14,16
18,15,26
59,13,29
15,6,6
1,37,41
22,89,126
0,5,7
288,239,405
20,16,34
42,5,10
5,41,54
0,2,2
3,7,11
325,203,311
82,148,250
3,16,23
0,12,16
5,17,26
0,3,10
2,46,64
4,25,30
16,31,63
116,31,46
16,225,327
3,4,8
9,53,131
0,8,9
4,28,35
0,19,24
23,5,6
15,7,9
16,7,9
1,11,13
13,3,4
7,30,37
10,34,37
0,8,9
22,283,383
5,19,24
14,40,52
18,8,8
14,6,7
3,7,10
6,24,35
2,11,17
3,10,13
3,2,17
2,10,14
5,33,43
0,10,13
36,6,7
4,13,17
31,5,6
0,9,10
0,1,2
1,9,10
42,101,155
66,12,16
17,10,15
0,6,6
4,17,21
22,353,426
2,28,30
1,8,9
9,52,62
1,5,5
5,25,32
6,6,8
10,19,23
8,38,51
3,11,16
70,39,55
0,4,4
44,225,318
17,7,8
5,18,24
11,4,5
2,26,30
0,16,30
5,54,81
19,12,14
7,81,97
20,13,19
20,13,20
4,14,40
18,8,8
7,1,2
3,10,13
0,17,18
0,31,33
3,13,14
8,50,68
0,8,9
0,8,10
12,113,141
5,13,22
11,5,5
1,12,13
30,6,9
13,4,6
7,13,16
0,5,5
28,244,311
1,1,2
54,17,23
5,7,9
71,110,152
1,4,6
1,6,6
14,25,34
75,19,25
13,5,6
8,47,56
8,48,65
19,5,6
19,5,6
5,42,64
28,15,21
3,12,19
0,6,6
7,7,7
1,19,24
6,31,43
8,8,15
5,9,23
0,4,4
19,4,5
0,1,1
10,4,5
2,17,29
2,11,12
16,98,131
1,16,17
4,10,14
2,10,11
12,4,4
1,16,20
13,7,7
2,22,24
4,22,24
10,3,6
0,17,20
1,10,10
6,36,69
0,14,16
11,4,5
6,34,41
1,2,2
1,17,18
83,421,554
2,6,6
22,7,9
0,7,9
14,4,4
4,34,81
5,4,4
2,11,17
14,86,159
1,5,6
3,16,34
0,1,2
7,32,42
2,6,8
33,124,164
45,50,71
3,4,5
3,16,16
5,4,4
0,5,6
1,23,30
6,9,12
222,37,52
3,10,13
2,17,19
18,7,8
5,15,25
8,6,8
6,15,20
0,7,7
0,1,1
3,4,5
33,22,29
36,53,64
11,162,183
3,18,22
15,34,52
11,5,5
5,26,32
2,2,2
1,12,24
0,7,10
4,20,29
6,4,5
4,5,5
4,18,20
5,69,84
2,13,17
6,29,33
0,11,12
14,4,5
0,9,11
3,4,4
13,5,5
26,10,10
4,19,30
4,20,32
11,4,4
39,160,207
9,24,51
3,4,4
0,6,7
11,4,5
11,10,18
2,17,22
2,7,15
3,5,5
20,5,5
5,56,71
1,21,25
0,5,6
2,11,13
3,6,21
5,4,4
0,9,20
3,15,21
15,7,8
23,12,19
0,12,15
7,34,65
44,188,290
29,5,5
5,29,43
5,6,7
1,27,42
4,14,21
0,1,1
1,1,1
10,16,29
14,14,19
14,5,5
12,74,133
5,4,4
5,42,61
20,41,60
4,5,5
1,12,16
2,8,9
6,54,83
0,1,1
2,5,10
50,8,8
22,47,65
44,9,16
8,5,5
0,9,12
23,6,8
8,24,35
16,5,5
50,273,450
6,31,47
35,9,11
14,5,5
3,68,77
9,24,27
19,38,50
1,5,5
6,15,21
0,1,1
9,30,36
5,5,8
0,1,1
28,68,147
4,15,16
2,2,3
5,15,21
0,5,6
0,4,5
0,11,12
1,4,4
0,11,24
1,11,13
3,5,6
5,34,39
16,11,20
2,7,8
12,110,135
10,166,221
0,14,20
0,0,1
3,15,20
97,16,23
5,19,50
5,13,19
10,14,18
3,12,14
3,9,10
3,25,33
0,2,2
9,10,14
6,23,44
8,6,7
8,12,24
0,9,17
3,10,13
0,12,18
50,63,106
1,13,18
0,13,16
11,10,12
0,13,14
3,14,20
2,17,22
71,177,238
21,49,135
13,2,2
4,20,28
17,17,38
0,15,18
1,13,24
4,8,10
4,1,1
2,2,10
12,102,157
27,6,10
0,6,7
6,15,24
3,6,7
0,0,1
2,5,9
2,3,4
1,3,4
2,15,28
112,23,33
3,10,14
0,1,1
4,8,13
77,315,443
6,33,54
2,17,22
7,18,36
1,7,11
0,13,15
3,4,6
5,9,14
8,7,15
0,21,23
7,12,27
8,2,2
0,1,1
37,9,12
9,18,31
6,2,6
10,18,38
14,13,25
3,11,16
1,6,7
14,195,229
4,18,23
10,17,29
0,3,5
0,3,4
0,7,10
2,7,9
4,14,20
1,9,11
6,18,24
0,1,2
0,1,2
4,12,23
24,36,63
152,132,198
1,6,8
12,8,10
1,1,2
0,5,5
0,15,18
0,10,11
1,9,10
61,391,570
3,3,8
9,27,34
24,8,10
2,13,17
0,5,5
0,2,4
6,5,7
2,24,36
9,6,11
1,5,10
1,4,7
2,4,4
0,1,2
1,9,16
1,21,28
4,11,18
7,10,20
0,3,7
2,6,10
29,71,105
1,3,4
17,27,36
50,31,204
10,33,52
9,9,17
5,3,4
18,19,38
0,10,12
0,6,8
0,1,1
0,1,1
2,31,44
14,7,12
10,10,18
1,18,30
1,47,58
2,7,8
8,3,6
13,17,33
3,11,13
0,1,1
2,6,10
0,1,1
5,11,18
0,1,1
2,23,27
2,5,6
2,6,9
18,15,19
0,1,2
8,1,1
1,7,11
0,9,12
0,7,8
0,1,1
12,4,7
2,4,7
2,13,40
0,12,14
1,6,15
2,10,18
0,1,4
0,10,15
1,4,8
2,1,2
124,402,580
9,4,5
0,17,24
0,11,11
0,3,4
13,9,10
6,3,3
0,2,2
6,40,50
14,44,54
1,15,21
1,5,10
1,4,6
2,10,20
1,4,5
0,1,1
3,12,15
3,7,13
0,7,8
1,8,10
16,6,7
13,17,42
1,6,17
0,3,8
0,1,1
2,4,7
0,3,3
3,2,3
8,5,6
0,5,5
4,16,21
0,7,7
3,17,40
5,37,45
0,4,4
45,167,312
72,206,303
8,20,22
1,5,5
0,11,13
4,14,17
3,12,17
5,22,40
0,5,5
4,4,6
15,10,30
0,6,6
19,136,173
1,5,6
0,4,7
6,13,16
1,3,6
0,1,1
0,7,10
0,7,15
0,6,8
0,5,9
1,3,5
0,14,20
1,3,6
0,5,6
0,7,16
2,21,26
17,197,282
1,2,3
12,24,31
0,15,17
19,82,148
0,0,1
1,3,3
13,58,86
0,0,1
1,11,17
10,53,81
0,6,9
2,6,11
1,7,13
1,17,27
7,13,17
71,9,10
7,20,27
0,12,30
29,141,172
1,2,2
1,11,16
4,4,7
1,0,3
12,3,4
3,4,9
5,6,9
0,1,2
0,3,3
25,238,356
90,122,224
2,11,14
1,16,22
0,3,3
11,16,22
4,17,34
0,5,5
33,37,46
4,5,10
2,5,8
3,8,15
12,97,118
0,8,16
0,2,3
0,10,14
0,3,3
0,3,4
0,7,15
2,2,2
2,4,11
4,5,10
1,13,17
3,14,17
0,2,3
37,4,6
4,12,17
5,3,4
2,0,2
0,1,5
1,4,5
0,4,5
0,9,11
0,2,2
1,2,4
7,4,4
3,2,8
4,8,13
0,14,15
2,0,2
4,31,36
4,3,6
3,6,15
5,6,9
2,20,25
2,6,11
1,4,6
0,1,1
3,6,13
3,12,14
12,26,35
3,15,19
15,25,30
0,0,2
1,13,19
1,2,2
46,32,37
5,14,26
0,3,6
0,6,8
0,2,2
0,14,16
9,7,13
1,4,5
0,4,8
0,2,2
0,16,20
7,2,5
0,0,1
0,0,4
4,3,7
5,20,31
1,0,1
1,1,2
5,9,10
0,1,1
2,5,6
4,2,4
0,1,1
0,2,2
0,8,9
0,3,3
0,1,2
3,4,4
2,11,14
1,3,3
0,2,2
44,109,118
0,6,6
9,14,33
0,4,11
1,2,4
4,1,2
10,57,93
5,1,2
4,22,36
70,174,245
1,1,1
0,1,1
2,1,1
6,87,95
0,6,8
0,3,5
2,1,1
2,2,3
1,0,1
1,6,9
0,3,4
0,0,1
1,2,2
0,1,1
12,4,7
0,6,10
0,10,33
0,5,6
4,2,2
1,4,6
0,2,2
3,6,13
1,3,3
0,0,3
0,2,2
1,0,2
3,0,5
2,2,2
2,7,10
43,112,217
2,1,2
2,1,3
1,7,13
0,1,8
4,1,1
0,2,2
0,1,1
56,19,23
11,37,52
44,70,92
2,6,13
0,2,2
10,11,13
6,17,36
5,5,6
1,13,14
0,3,3
0,4,5
0,2,2
0,10,12
0,3,4
0,1,1
3,1,4
6,1,1
3,4,8
11,6,7
1,6,9
1,2,7
11,18,25
0,2,3
90,6,9
23,15,48
1,8,14
1,1,2
2,1,1
11,35,41
2,10,17
1,16,16
1,0,5
0,5,6
2,3,6
18,2,7
0,0,3
0,2,3
3,13,16
2,12,17
2,2,2
7,41,51
19,42,49
2,3,5
0,2,3
0,3,4
7,5,9
2,8,16
0,3,3
7,11,22
1,16,29
11,12,14
0,2,2
0,2,6
0,2,3
0,2,4
0,4,9
0,1,5
0,0,1
1,10,12
0,1,1
0,7,11
0,2,2
0,5,8
1,4,8
0,2,3
6,2,7
0,2,3
0,1,3
0,8,10
0,1,8
1,7,12
0,4,5
9,0,2
0,1,1
0,17,22
0,4,8
0,1,1
5,1,1
0,1,1
0,1,1
4,7,9
0,1,5
0,5,8
0,6,11
2,11,12
2,1,1
0,3,8
2,1,4
3,11,14
12,24,39
0,1,2
10,2,3
11,46,62
15,16,35
3,0,1
1,12,13
1,1,1
4,2,7
0,6,13
0,2,5
0,1,2
3,16,18
2,6,19
0,0,1
6,1,2
4,1,1
10,2,6
9,46,54
41,8,9
7,45,49
0,2,9
11,1,2
0,2,3
1,8,15
8,0,1
30,6,9
3,2,3
4,1,1
0,1,4
0,1,1
1,1,2
2,1,1
0,1,2
15,1,2
2,1,1
7,5,6
14,10,13
1,1,2
0,1,1
0,1,3
6,29,49
5,1,2
1,2,4
1,8,11
0,0,1
5,2,2
2,0,3
3,2,4
0,1,5
0,3,7
7,4,9
11,7,42
1,3,5
0,1,2
0,2,4
4,0,1
4,2,2
1,0,2
0,0,1
9,4,7
0,0,2
6,1,2
5,0,1
0,21,28
3,1,2
2,3,8
1,5,6
0,2,10
3,3,8
0,0,2
3,2,10
0,0,1
1,2,2
0,3,3
0,1,3
82,8,10
0,16,21
0,2,5
10,11,16
0,5,13
0,1,4
5,2,2
1,0,4
1,2,5
7,0,1
1,2,2
12,1,3
6,1,2
0,2,5
1,0,1
0,4,5
8,5,7
0,12,20
1,2,12
5,0,26
1,1,4
1,3,9
5,3,3
0,1,3
0,0,1
2,0,4
0,0,2
1,3,9
0,9,12
0,16,22
0,0,3
1,2,7
4,4,4
0,3,12
0,1,2
0,1,5
2,0,5
11,2,3
5,0,2
1,4,6
3,1,2
0,1,4
0,1,3
5,1,8
5,4,9
11,2,2
0,0,1
2,0,3
2,0,6
0,1,2
1,2,5
0,4,7
4,14,21
1,2,2
0,0,4
2,0,1
0,1,3
1,4,8
0,1,1
1,2,7
1,2,9
0,0,5
2,1,5
2,3,9
2,1,3
0,8,13
2,13,17
6,0,4
1,2,3
0,5,14
0,1,2
0,2,3
3,6,10
7,2,7
2,0,1
0,1,4
0,0,6
2,1,1
2,1,2
3,2,3
0,1,2
4,1,1
3,8,9
0,0,2
0,2,5
0,0,3
0,0,3
2,1,4
1,4,6
1,6,11
0,3,4
0,7,11
4,3,8
0,4,9
5,1,1
3,2,2
0,2,3
0,3,4
0,3,7
0,8,11
1,4,8
