# Index,Muscle,Community Assignment
159,Gluteus Medius,20
160,Gluteus Minimus,20
161,Piriformis,20
162,Superior Gemellus,20
163,Inferior Gemellus,20
164,Obturator Internus,20
165,Quadratus Femoris,20
166,Semitendinosus,20
167,Semimembranosus,20
168,Biceps Femoris,20
169,Adductor Longus,20
170,Adductor Brevis,20
171,Adductor Magnus,20
172,Gracilis,20
173,Obturator Externus,20
174,Sartorius,20
175,Rectus Femoris,20
176,Vastus Lateralis,20
177,Vastus Intermedius,20
178,Vastus Medialis,20
179,Articularis Genus,20
181,Iliacus,20
182,Pectineus,20
183,Gastrocnemius,20
185,Plantaris,20
186,Popliteus,20
269,Pyramidalis,20
184,Soleus,21
187,Flexor Digitorum Longus,21
188,Tibialis Posterior,21
189,Flexor Hallucis Longus,21
190,Peroneus Longus,21
191,Peroneus Brevis,21
192,Tibialis Anterior,21
193,Extensor Hallucis Longus,21
194,Extensor Digitorum Longus,21
195,Peroneus Tertius,21
196,Abductor Hallucis,21
197,Flexor Digitorum Brevis,21
198,Abductor Digiti Minimi,21
199,Abductor Ossis Metatarsi Quinti,21
200,Quadratus Plantae,21
201,Lumbrical 1,21
202,Lumbrical 2,21
203,Lumbrical 3,21
204,Lumbrical 4,21
205,Flexor Hallucis Brevis,21
206,Adductor Hallucis,21
207,Flexor Digiti Minimi Brevis,21
208,Plantar Interossei 1,21
209,Plantar Interossei 2,21
210,Plantar Interossei 3,21
211,Dorsal Interossei 1,21
212,Dorsal Interossei 2,21
213,Dorsal Interossei 3,21
214,Dorsal Interossei 4,21
215,Extensor Hallucis Brevis,21
216,Extensor Digitorum Brevis,21
